drug,dose_nM,gene_set,n_genes,n_true_cells,n_pred_cells,pearson,r2,control_baseline_pearson,control_baseline_r2
(+)-JQ1,10.0,all_retained_genes,2000,174,210,0.9885012379921844,0.9698305432654439,0.9909702537562302,0.9820065313728528
(+)-JQ1,10.0,top500_HVG,500,174,210,0.9931714236146852,0.9798643303333263,0.9950825944126427,0.9901521461411142
(+)-JQ1,10.0,top100_DE,100,174,210,0.9742116553466169,0.9250064892114316,0.971730021198004,0.9430268063607433
(+)-JQ1,100.0,all_retained_genes,2000,183,199,0.9758949414051674,0.9485532570244538,0.9795396680302876,0.9460542864448884
(+)-JQ1,100.0,top500_HVG,500,183,199,0.9810186997346999,0.960566783092917,0.9852398506540726,0.951333656750371
(+)-JQ1,100.0,top100_DE,100,183,199,0.9569110949935538,0.9112469181265821,0.9522581260708416,0.8282001275842581
(+)-JQ1,1000.0,all_retained_genes,2000,218,197,0.9454413152779784,0.8930263889774146,0.9439302629803042,0.8485780513259507
(+)-JQ1,1000.0,top500_HVG,500,218,197,0.953970006251358,0.9099657404790422,0.9572235582600984,0.8519669413083442
(+)-JQ1,1000.0,top100_DE,100,218,197,0.9120057115400905,0.8155731728173945,0.8849805695737214,0.600811582127319
(+)-JQ1,10000.0,all_retained_genes,2000,223,205,0.9371877708287005,0.8738435573186086,0.9258564829481899,0.8200406296927657
(+)-JQ1,10000.0,top500_HVG,500,223,205,0.9490954322886154,0.900457569002248,0.9508075037327717,0.8334048771749425
(+)-JQ1,10000.0,top100_DE,100,223,205,0.8721564081450929,0.7479955371158974,0.8138310847535662,0.4911223040820649
Trametinib (GSK1120212),10.0,all_retained_genes,2000,167,201,0.9140692962827295,0.8294686184459179,0.9265763744345465,0.8379732893211047
Trametinib (GSK1120212),10.0,top500_HVG,500,167,201,0.9202929206116313,0.8405394804036942,0.9366471975263192,0.8652287513670367
Trametinib (GSK1120212),10.0,top100_DE,100,167,201,0.7513810517855367,0.554349410282122,0.7612810487932418,0.48112391498267704
Trametinib (GSK1120212),100.0,all_retained_genes,2000,176,195,0.9174579094326608,0.8415492268436305,0.9222463073906257,0.8252613790499209
Trametinib (GSK1120212),100.0,top500_HVG,500,176,195,0.922397928044282,0.8503269494354454,0.9301213313489302,0.8503110349371141
Trametinib (GSK1120212),100.0,top100_DE,100,176,195,0.8112855941273286,0.6543948148523961,0.8098311279370947,0.5750423527036914
Trametinib (GSK1120212),1000.0,all_retained_genes,2000,210,189,0.9047546957206118,0.8095654996035175,0.9167635861512553,0.8146781624341354
Trametinib (GSK1120212),1000.0,top500_HVG,500,210,189,0.9099786301871418,0.8220581787827959,0.9249156613174112,0.8349796028259096
Trametinib (GSK1120212),1000.0,top100_DE,100,210,189,0.6945971320117879,0.4604908401991734,0.7021537678223833,0.32804665478031947
Trametinib (GSK1120212),10000.0,all_retained_genes,2000,171,209,0.9013132965420341,0.8111275313103591,0.9068338747596559,0.7871891044750463
Trametinib (GSK1120212),10000.0,top500_HVG,500,171,209,0.9092118873226696,0.8255180960655462,0.9183874715996364,0.8170754304775448
Trametinib (GSK1120212),10000.0,top100_DE,100,171,209,0.7013905770654366,0.4610021700308454,0.697836598933726,0.32907111626902485
