gene,highly_variable,means,dispersions,dispersions_norm,hvg_rank
CFH,True,0.546055329570334,2.7112532880657603,2.3572783,321
GCLC,True,0.7351897154180461,2.613508783750458,1.1734923,1608
LAS1L,True,0.19720389284822745,2.4633972148113585,1.0141497,1987
CYP26B1,True,0.0315743066132373,2.5922131411839295,1.5702113,929
TFPI,True,0.5789145851272914,2.675401902196484,2.1493788,399
CAMKK1,True,0.13126063380895664,2.625516898185406,1.7139741,765
RECQL,True,0.31395794179597036,2.5668093196764645,1.4605502,1087
PDK4,True,0.0924544254016831,2.555362851402991,1.4111391,1169
SLC4A1,True,0.15382329448720644,3.3335949030317575,4.770545,24
CALCR,True,1.3726663305106728,2.8255727538105284,1.7529323,712
DVL2,True,0.15083598231524034,2.5001514875837043,1.1728073,1609
THSD7A,True,0.4800670259229376,2.8808476214851866,3.340743,98
ACSM3,True,0.6883525796788571,3.213843770952632,5.271763,15
CIAPIN1,True,0.23433594705012437,2.53248593505769,1.3123859,1329
PRKAR2B,True,0.7115216076065395,2.644921941861621,1.9726278,531
FBXL3,True,0.21195422641528155,2.8378116749806073,2.6303902,210
ITGA2B,True,0.12015876353067884,2.508836299466908,1.2102972,1517
MAP3K14,True,0.6025329314389326,2.5191467477397955,1.2432667,1461
KDM7A,True,0.5680132646917396,2.5186681850088934,1.2404916,1465
ETV1,True,0.1533608089692541,2.550307479280168,1.3893164,1196
USH1C,True,0.03252012128396069,2.8634448534623598,2.7410412,181
SCIN,True,0.11920590062434808,2.5349929300042184,1.323208,1313
MATK,True,0.04221771543061677,2.465372653990469,1.0226771,1963
ST3GAL1,True,0.6212123434060118,2.4899113332875453,1.0737327,1844
PKD1,True,0.4765314123672929,2.4987905035502056,1.1252224,1724
TENM1,True,0.8049200956212739,3.088355358664662,3.3891566,90
BTK,True,0.08560466915802681,2.5292376502733296,1.298364,1359
SCMH1,True,0.8999317845502207,2.6284879623411337,1.243386,1459
FYN,True,0.3325369080027609,2.648825306890873,1.8145899,654
ABHD5,True,0.5950424408303341,2.573052976496744,1.5558649,946
DPF1,True,0.04826842827590977,2.4890975433436884,1.1250906,1725
PLAUR,True,0.15847382604675572,2.520752167769153,1.2617346,1422
GABRA3,True,0.128913989538844,2.5951774586334793,1.5830073,900
PRICKLE3,True,0.10323894312391663,2.681219873426602,1.954428,547
ALOX5,True,0.1322084347013161,2.715303095973892,2.1015556,434
CALCOCO1,True,0.11995792958665522,2.5489321572462122,1.3833796,1205
EHD3,True,0.02005499374732268,2.4667691237908764,1.0287052,1941
ZC3H3,True,0.5102787708073354,2.6045732867356315,1.7386489,732
IGF1,True,0.1254086418009558,2.8151081446265454,2.5323853,242
SLC38A5,True,0.09593457071396858,2.5054573608687534,1.1957113,1555
CNTN1,True,0.8348387051549329,3.084819723643516,3.372659,94
WWTR1,True,0.5996747837549489,2.52946251598522,1.3030871,1350
AGPS,True,0.46043045327934345,2.5136727707876467,1.2115235,1515
CYP24A1,True,0.6664472655943704,3.099666502747181,4.6096573,28
SAMD4A,True,0.5654317048627756,2.479649937988993,1.0142277,1986
NRXN3,True,0.16758958546813482,2.893382874533253,2.8702753,153
CPS1,True,0.1762753022022582,2.5018353611436948,1.1800761,1594
GRAMD1B,True,0.28767215791086936,2.7207189701274745,2.1249342,418
ALAS1,True,0.15848922173624672,2.4694881316341872,1.0404423,1911
ABCC2,True,0.7555781898914368,2.988113955716477,2.921424,144
GCLM,True,0.8250391451045318,2.6740267742595782,1.455873,1092
EHD2,True,0.2555200692192136,2.5024004051182605,1.1825153,1588
VIM,True,0.8067189845036201,2.72354629440268,1.6869342,802
KCNG1,True,0.031702023080849025,2.675407001501862,1.9293355,569
AGPAT4,True,0.38324038260384646,2.7687527050012863,2.6907132,192
