cell_id,UMAP1,UMAP2,cell_line,perturbation,dose_value,dose_unit,time,condition,source
D03_E09_RT_BC_141_Lig_BC_355-0,13.074452,-0.34373426,A549,control,0.0,nM,24.0,control_0,control
F07_F10_RT_BC_247_Lig_BC_200-0,10.295692,3.034622,A549,control,0.0,nM,24.0,control_0,control
B06_F10_RT_BC_268_Lig_BC_294-0,12.466434,-1.9217523,A549,control,0.0,nM,24.0,control_0,control
A08_F10_RT_BC_172_Lig_BC_28-0,7.513653,-1.7655427,A549,control,0.0,nM,24.0,control_0,control
D07_F10_RT_BC_292_Lig_BC_77-0,9.680858,4.0584903,A549,control,0.0,nM,24.0,control_0,control
G11_F10_RT_BC_180_Lig_BC_356-0,12.575544,2.0722377,A549,control,0.0,nM,24.0,control_0,control
C08_E09_RT_BC_62_Lig_BC_352-0,6.736005,-3.581395,A549,control,0.0,nM,24.0,control_0,control
D02_E09_RT_BC_362_Lig_BC_51-0,8.074714,-0.86849767,A549,control,0.0,nM,24.0,control_0,control
D04_F10_RT_BC_159_Lig_BC_10-0,7.9586887,2.240757,A549,control,0.0,nM,24.0,control_0,control
H09_E09_RT_BC_238_Lig_BC_351-0,8.970107,-2.5931532,A549,control,0.0,nM,24.0,control_0,control
E02_F10_RT_BC_276_Lig_BC_1-0,7.095618,3.543728,A549,control,0.0,nM,24.0,control_0,control
A11_F10_RT_BC_27_Lig_BC_35-0,6.89634,-1.3967364,A549,control,0.0,nM,24.0,control_0,control
H02_E09_RT_BC_337_Lig_BC_109-0,12.96786,-0.07458006,A549,control,0.0,nM,24.0,control_0,control
H05_E09_RT_BC_379_Lig_BC_374-0,11.333435,2.1619515,A549,control,0.0,nM,24.0,control_0,control
E01_E09_RT_BC_90_Lig_BC_254-0,12.430401,-2.2755466,A549,control,0.0,nM,24.0,control_0,control
C05_E09_RT_BC_236_Lig_BC_316-0,7.4231167,-0.19783157,A549,control,0.0,nM,24.0,control_0,control
H10_F10_RT_BC_199_Lig_BC_239-0,10.577716,-3.3089275,A549,control,0.0,nM,24.0,control_0,control
A03_E09_RT_BC_159_Lig_BC_298-0,1.9266503,1.2052609,A549,control,0.0,nM,24.0,control_0,control
G07_E09_RT_BC_246_Lig_BC_132-0,12.876768,1.1697112,A549,control,0.0,nM,24.0,control_0,control
F07_F10_RT_BC_296_Lig_BC_198-0,11.911899,-1.7780876,A549,control,0.0,nM,24.0,control_0,control
G11_F10_RT_BC_45_Lig_BC_293-0,13.06115,0.644021,A549,control,0.0,nM,24.0,control_0,control
G07_E09_RT_BC_100_Lig_BC_288-0,9.970696,-3.2789793,A549,control,0.0,nM,24.0,control_0,control
F08_F10_RT_BC_346_Lig_BC_6-0,10.541253,-3.2437623,A549,control,0.0,nM,24.0,control_0,control
C01_F10_RT_BC_242_Lig_BC_279-0,6.317799,-4.237825,A549,control,0.0,nM,24.0,control_0,control
C04_F10_RT_BC_122_Lig_BC_185-0,6.218634,-1.5506328,A549,control,0.0,nM,24.0,control_0,control
B09_F10_RT_BC_221_Lig_BC_178-0,12.920706,1.5130081,A549,control,0.0,nM,24.0,control_0,control
E04_E09_RT_BC_201_Lig_BC_203-0,10.894111,1.5153124,A549,control,0.0,nM,24.0,control_0,control
F11_E09_RT_BC_195_Lig_BC_78-0,10.987441,3.1174333,A549,control,0.0,nM,24.0,control_0,control
D06_E09_RT_BC_78_Lig_BC_2-0,7.927004,-0.0073988223,A549,control,0.0,nM,24.0,control_0,control
H02_E09_RT_BC_362_Lig_BC_285-0,7.060273,-0.66854,A549,control,0.0,nM,24.0,control_0,control
H09_E09_RT_BC_221_Lig_BC_321-0,10.43868,-3.4916527,A549,control,0.0,nM,24.0,control_0,control
D04_E09_RT_BC_133_Lig_BC_259-0,9.35747,-0.023140045,A549,control,0.0,nM,24.0,control_0,control
H06_F10_RT_BC_107_Lig_BC_262-0,11.00377,-1.0611032,A549,control,0.0,nM,24.0,control_0,control
B04_E09_RT_BC_193_Lig_BC_273-0,12.860324,0.7956079,A549,control,0.0,nM,24.0,control_0,control
G08_E09_RT_BC_139_Lig_BC_109-0,7.622692,2.601871,A549,control,0.0,nM,24.0,control_0,control
A03_E09_RT_BC_45_Lig_BC_231-0,9.4565115,-2.8548183,A549,control,0.0,nM,24.0,control_0,control
E07_E09_RT_BC_43_Lig_BC_218-0,10.89564,-1.7613081,A549,control,0.0,nM,24.0,control_0,control
A08_F10_RT_BC_102_Lig_BC_304-0,12.863839,0.5896703,A549,control,0.0,nM,24.0,control_0,control
