cell_id,UMAP1,UMAP2,cell_line,perturbation,dose_value,dose_unit,time,condition,source
G09_E09_RT_BC_300_Lig_BC_139-0-0,4.9313483,2.7017257,A549,control,0.0,nM,24.0,control_0,control
G01_E09_RT_BC_293_Lig_BC_364-0-0,11.639039,4.9101696,A549,control,0.0,nM,24.0,control_0,control
A06_E09_RT_BC_17_Lig_BC_307-0-0,4.023672,4.4287233,A549,control,0.0,nM,24.0,control_0,control
G09_F10_RT_BC_275_Lig_BC_28-0-0,7.021915,2.2311213,A549,control,0.0,nM,24.0,control_0,control
E01_E09_RT_BC_90_Lig_BC_254-0-0,11.245712,7.071258,A549,control,0.0,nM,24.0,control_0,control
A05_F10_RT_BC_253_Lig_BC_215-0-0,9.2155905,9.744655,A549,control,0.0,nM,24.0,control_0,control
A07_F10_RT_BC_81_Lig_BC_221-0-0,10.72747,3.4800825,A549,control,0.0,nM,24.0,control_0,control
D07_E09_RT_BC_104_Lig_BC_224-0-0,12.182301,8.597771,A549,control,0.0,nM,24.0,control_0,control
E04_E09_RT_BC_201_Lig_BC_203-0-0,8.918754,9.788942,A549,control,0.0,nM,24.0,control_0,control
H05_F10_RT_BC_171_Lig_BC_214-0-0,11.355921,7.128591,A549,control,0.0,nM,24.0,control_0,control
H05_E09_RT_BC_161_Lig_BC_192-0-0,12.64015,5.0830708,A549,control,0.0,nM,24.0,control_0,control
C02_E09_RT_BC_304_Lig_BC_136-0-0,10.254616,4.7049136,A549,control,0.0,nM,24.0,control_0,control
F06_E09_RT_BC_222_Lig_BC_158-0-0,12.468298,7.7037454,A549,control,0.0,nM,24.0,control_0,control
F07_E09_RT_BC_34_Lig_BC_69-0-0,3.00761,5.8969455,A549,control,0.0,nM,24.0,control_0,control
C06_F10_RT_BC_2_Lig_BC_268-0-0,5.9472194,9.743215,A549,control,0.0,nM,24.0,control_0,control
C03_F10_RT_BC_267_Lig_BC_203-0-0,10.828635,4.345706,A549,control,0.0,nM,24.0,control_0,control
D04_E09_RT_BC_328_Lig_BC_203-0-0,11.274518,7.155754,A549,control,0.0,nM,24.0,control_0,control
A11_F10_RT_BC_8_Lig_BC_104-0-0,8.509493,5.937723,A549,control,0.0,nM,24.0,control_0,control
G04_F10_RT_BC_291_Lig_BC_58-0-0,7.6013865,6.252271,A549,control,0.0,nM,24.0,control_0,control
B06_F10_RT_BC_134_Lig_BC_115-0-0,12.008371,5.3436446,A549,control,0.0,nM,24.0,control_0,control
A11_F10_RT_BC_151_Lig_BC_266-0-0,9.402437,1.8123426,A549,control,0.0,nM,24.0,control_0,control
C09_F10_RT_BC_352_Lig_BC_230-0-0,9.318537,9.803629,A549,control,0.0,nM,24.0,control_0,control
B12_F10_RT_BC_202_Lig_BC_269-0-0,6.4361,3.8682313,A549,control,0.0,nM,24.0,control_0,control
F01_E09_RT_BC_327_Lig_BC_332-0-0,11.033081,3.4207642,A549,control,0.0,nM,24.0,control_0,control
H03_E09_RT_BC_184_Lig_BC_49-0-0,10.844507,6.201399,A549,control,0.0,nM,24.0,control_0,control
H05_E09_RT_BC_379_Lig_BC_374-0-0,11.356849,4.306642,A549,control,0.0,nM,24.0,control_0,control
B05_F10_RT_BC_209_Lig_BC_300-0-0,6.4792876,5.472894,A549,control,0.0,nM,24.0,control_0,control
D07_F10_RT_BC_144_Lig_BC_357-0-0,12.113238,8.2704935,A549,control,0.0,nM,24.0,control_0,control
B01_F10_RT_BC_124_Lig_BC_303-0-0,11.405574,8.518427,A549,control,0.0,nM,24.0,control_0,control
A09_F10_RT_BC_191_Lig_BC_17-0-0,7.7951403,3.3316414,A549,control,0.0,nM,24.0,control_0,control
C09_E09_RT_BC_358_Lig_BC_268-0-0,2.9708052,4.768431,A549,control,0.0,nM,24.0,control_0,control
H04_F10_RT_BC_97_Lig_BC_228-0-0,8.76093,2.2486327,A549,control,0.0,nM,24.0,control_0,control
H07_E09_RT_BC_353_Lig_BC_109-0-0,10.158548,4.9956226,A549,control,0.0,nM,24.0,control_0,control
F06_F10_RT_BC_33_Lig_BC_250-0-0,10.676341,5.7079997,A549,control,0.0,nM,24.0,control_0,control
