drug,dose_nM,method,gene_set,n_genes,pearson,r2,n_true_cells,n_pred_cells
(+)-JQ1,10.0,original_loglinear,all_retained_genes,2000,0.9879153527917872,0.9663590904025888,174,500
(+)-JQ1,10.0,original_loglinear,top500_HVG,500,0.992506223965756,0.9767112367930172,174,500
(+)-JQ1,10.0,original_loglinear,top100_DE,100,0.9724547812218212,0.9156666481376072,174,500
(+)-JQ1,10.0,improved_hill,all_retained_genes,2000,0.9885780885151229,0.96961135711034,174,500
(+)-JQ1,10.0,improved_hill,top500_HVG,500,0.9929986212348928,0.9794980389663196,174,500
(+)-JQ1,10.0,improved_hill,top100_DE,100,0.9728985772462748,0.9217446493488785,174,500
(+)-JQ1,100.0,original_loglinear,all_retained_genes,2000,0.9774563481275016,0.9546372365265712,183,500
(+)-JQ1,100.0,original_loglinear,top500_HVG,500,0.9827420194058196,0.9657474361110128,183,500
(+)-JQ1,100.0,original_loglinear,top100_DE,100,0.9573042607437376,0.9086130550497086,183,500
(+)-JQ1,100.0,improved_hill,all_retained_genes,2000,0.9764384168676314,0.951811885412353,183,500
(+)-JQ1,100.0,improved_hill,top500_HVG,500,0.9819443312085008,0.9639107566512648,183,500
(+)-JQ1,100.0,improved_hill,top100_DE,100,0.9562969964517186,0.9089375347268612,183,500
(+)-JQ1,1000.0,original_loglinear,all_retained_genes,2000,0.9493163383236858,0.9011743571779746,218,500
(+)-JQ1,1000.0,original_loglinear,top500_HVG,500,0.9570780385544116,0.9137520304121108,218,500
(+)-JQ1,1000.0,original_loglinear,top100_DE,100,0.9111097434188414,0.8026579344613077,218,500
(+)-JQ1,1000.0,improved_hill,all_retained_genes,2000,0.947589661741716,0.8971775802603851,218,500
(+)-JQ1,1000.0,improved_hill,top500_HVG,500,0.9553617225079892,0.912569448137858,218,500
(+)-JQ1,1000.0,improved_hill,top100_DE,100,0.9124275736019604,0.8147125353173459,218,500
(+)-JQ1,10000.0,original_loglinear,all_retained_genes,2000,0.9357647399653222,0.8723561313577978,223,500
(+)-JQ1,10000.0,original_loglinear,top500_HVG,500,0.9488360634240308,0.900279684552573,223,500
(+)-JQ1,10000.0,original_loglinear,top100_DE,100,0.8643361977052025,0.7376752172400707,223,500
(+)-JQ1,10000.0,improved_hill,all_retained_genes,2000,0.9357647399653222,0.8723561313577978,223,500
(+)-JQ1,10000.0,improved_hill,top500_HVG,500,0.9488360634240308,0.900279684552573,223,500
(+)-JQ1,10000.0,improved_hill,top100_DE,100,0.8643361977052025,0.7376752172400707,223,500
Trametinib (GSK1120212),10.0,original_loglinear,all_retained_genes,2000,0.9248889338749212,0.8521281610283824,167,500
Trametinib (GSK1120212),10.0,original_loglinear,top500_HVG,500,0.9329062295137605,0.8683699219203366,167,500
Trametinib (GSK1120212),10.0,original_loglinear,top100_DE,100,0.7635815166603589,0.5441466824335572,167,500
Trametinib (GSK1120212),10.0,improved_hill,all_retained_genes,2000,0.920772859134541,0.8468747128800689,167,500
Trametinib (GSK1120212),10.0,improved_hill,top500_HVG,500,0.9268737790672792,0.8581753213642296,167,500
Trametinib (GSK1120212),10.0,improved_hill,top100_DE,100,0.760984043034733,0.5613837890182061,167,500
Trametinib (GSK1120212),100.0,original_loglinear,all_retained_genes,2000,0.92001365370861,0.8437974902099253,176,500
Trametinib (GSK1120212),100.0,original_loglinear,top500_HVG,500,0.925033810752744,0.8538809438676104,176,500
Trametinib (GSK1120212),100.0,original_loglinear,top100_DE,100,0.8121402447476688,0.6415740148481792,176,500
Trametinib (GSK1120212),100.0,improved_hill,all_retained_genes,2000,0.9168183434716052,0.839897152602406,176,500
Trametinib (GSK1120212),100.0,improved_hill,top500_HVG,500,0.9204600096235592,0.8467069201672208,176,500
Trametinib (GSK1120212),100.0,improved_hill,top100_DE,100,0.8108116991100938,0.6543684446063351,176,500
Trametinib (GSK1120212),1000.0,original_loglinear,all_retained_genes,2000,0.9103885103066144,0.8271930954630712,210,500
Trametinib (GSK1120212),1000.0,original_loglinear,top500_HVG,500,0.91607874821023,0.8367809292474664,210,500
Trametinib (GSK1120212),1000.0,original_loglinear,top100_DE,100,0.6969793797060583,0.4320257561188363,210,500
Trametinib (GSK1120212),1000.0,improved_hill,all_retained_genes,2000,0.9079979201756508,0.8230960845308931,210,500
Trametinib (GSK1120212),1000.0,improved_hill,top500_HVG,500,0.9134409818943467,0.8331709168057335,210,500
Trametinib (GSK1120212),1000.0,improved_hill,top100_DE,100,0.6951294305548575,0.4432819895667945,210,500
Trametinib (GSK1120212),10000.0,original_loglinear,all_retained_genes,2000,0.9013596301294752,0.8111570200988387,171,500
Trametinib (GSK1120212),10000.0,original_loglinear,top500_HVG,500,0.9088977283406328,0.8249124777628509,171,500
Trametinib (GSK1120212),10000.0,original_loglinear,top100_DE,100,0.7038418250532795,0.4659209440707997,171,500
