drug,training_cell_line,dose_nM,projected_response_ratio,hill_fitted_alpha,loglinear_alpha
(+)-JQ1,K562,10.0,0.23266878919166487,0.17187149596722187,0.2603453447672145
(+)-JQ1,K562,100.0,0.6847849770659898,0.5801031855105667,0.5010749033660212
(+)-JQ1,K562,1000.0,0.8668290451785495,0.9122371501785455,0.7501003756656573
(+)-JQ1,K562,10000.0,1.0,1.0,1.0
(+)-JQ1,MCF7,10.0,0.10760245653052018,0.17187149596722187,0.2603453447672145
(+)-JQ1,MCF7,100.0,0.4813582562815976,0.5801031855105667,0.5010749033660212
(+)-JQ1,MCF7,1000.0,0.9515981966035669,0.9122371501785455,0.7501003756656573
(+)-JQ1,MCF7,10000.0,1.0,1.0,1.0
Trametinib (GSK1120212),K562,10.0,1.092452349562253,0.8579644368837089,0.2603453447672145
Trametinib (GSK1120212),K562,100.0,0.9637251684608646,0.911336367713829,0.5010749033660212
Trametinib (GSK1120212),K562,1000.0,1.0839894124249216,0.9587093345213087,0.7501003756656573
Trametinib (GSK1120212),K562,10000.0,1.0,1.0,1.0
Trametinib (GSK1120212),MCF7,10.0,0.9057101037818339,0.8579644368837089,0.2603453447672145
Trametinib (GSK1120212),MCF7,100.0,0.8272849117251421,0.911336367713829,0.5010749033660212
Trametinib (GSK1120212),MCF7,1000.0,0.9125647982931289,0.9587093345213087,0.7501003756656573
Trametinib (GSK1120212),MCF7,10000.0,1.0,1.0,1.0
