cell_id,UMAP1,UMAP2,cell_line,perturbation,dose_value,dose_unit,time,condition,source
H12_F10_RT_BC_190_Lig_BC_273-0,5.7688603,6.483783,A549,control,0.0,nM,24.0,control_0,control
A05_F10_RT_BC_351_Lig_BC_127-0,8.947697,7.358764,A549,control,0.0,nM,24.0,control_0,control
A05_E09_RT_BC_180_Lig_BC_93-0,0.4435643,8.2154045,A549,control,0.0,nM,24.0,control_0,control
C12_E09_RT_BC_71_Lig_BC_225-0,5.2245116,9.6940775,A549,control,0.0,nM,24.0,control_0,control
G01_F10_RT_BC_376_Lig_BC_355-0,10.8709955,3.4457116,A549,control,0.0,nM,24.0,control_0,control
B04_F10_RT_BC_65_Lig_BC_298-0,8.603408,4.243755,A549,control,0.0,nM,24.0,control_0,control
E04_E09_RT_BC_147_Lig_BC_101-0,7.076612,6.879786,A549,control,0.0,nM,24.0,control_0,control
A11_F10_RT_BC_27_Lig_BC_35-0,3.9054985,9.218637,A549,control,0.0,nM,24.0,control_0,control
D05_E09_RT_BC_329_Lig_BC_245-0,4.787211,9.818312,A549,control,0.0,nM,24.0,control_0,control
F03_F10_RT_BC_210_Lig_BC_379-0,7.9261937,10.165723,A549,control,0.0,nM,24.0,control_0,control
D05_E09_RT_BC_363_Lig_BC_71-0,7.496791,3.8647254,A549,control,0.0,nM,24.0,control_0,control
E09_E09_RT_BC_189_Lig_BC_87-0,10.467822,8.147505,A549,control,0.0,nM,24.0,control_0,control
B09_E09_RT_BC_50_Lig_BC_92-0,2.6424587,5.9264045,A549,control,0.0,nM,24.0,control_0,control
D08_E09_RT_BC_227_Lig_BC_366-0,4.1052394,5.058307,A549,control,0.0,nM,24.0,control_0,control
A03_F10_RT_BC_173_Lig_BC_197-0,6.3780584,1.7969196,A549,control,0.0,nM,24.0,control_0,control
G03_F10_RT_BC_29_Lig_BC_48-0,5.1531243,5.501596,A549,control,0.0,nM,24.0,control_0,control
B04_F10_RT_BC_21_Lig_BC_315-0,10.766613,3.4413702,A549,control,0.0,nM,24.0,control_0,control
C07_F10_RT_BC_171_Lig_BC_213-0,9.493319,9.608578,A549,control,0.0,nM,24.0,control_0,control
E06_F10_RT_BC_353_Lig_BC_36-0,9.189187,9.051914,A549,control,0.0,nM,24.0,control_0,control
F01_E09_RT_BC_327_Lig_BC_332-0,9.126208,3.1662343,A549,control,0.0,nM,24.0,control_0,control
A03_E09_RT_BC_221_Lig_BC_159-0,3.553562,8.780215,A549,control,0.0,nM,24.0,control_0,control
G01_E09_RT_BC_260_Lig_BC_146-0,8.38259,6.678484,A549,control,0.0,nM,24.0,control_0,control
B06_F10_RT_BC_181_Lig_BC_100-0,8.062211,2.574021,A549,control,0.0,nM,24.0,control_0,control
